Company,Position,GL_Job,Dept
Canadian Niagara Hotels Inc,Club Lounge Att,544210035-Club Lounge,002510-Sheraton Club Lounge
Canadian Niagara Hotels Inc,VIP Club Serv Manager,544210035-Club Lounge,002510-Sheraton Club Lounge
Canadian Niagara Hotels Inc,FRESHII Assoc,554510041-FreshiiAssoc,002520-Freshii Market
Canadian Niagara Hotels Inc,MARKET Mgr,510010041-FreshiiMgr,002520-Freshii Market
Canadian Niagara Hotels Inc,MARKET Sup,520010041-FreshiiSup,002520-Freshii Market
Canadian Niagara Hotels Inc,SHER OUTLET Mgr,510010041-FreshiiMgr,002520-Freshii Market
Canadian Niagara Hotels Inc,SWEET J BOH Prep,554510042-SJ Assoc,002530-Sweet Jesus
Canadian Niagara Hotels Inc,SWEET J Cashier,554510042-SJ Assoc,002530-Sweet Jesus
Canadian Niagara Hotels Inc,SWEET J Cone Art,554510042-SJ Assoc,002530-Sweet Jesus
Canadian Niagara Hotels Inc,SWEET J Mgr,510010042-SJ Mgmt Sa,002530-Sweet Jesus
Canadian Niagara Hotels Inc,SWEET J Sup,520010042-SJ Sup Wag,002530-Sweet Jesus
Canadian Niagara Hotels Inc,Lobby Bar,554110030 LB Bart,002570 Sheraton Lobby Bar
Canadian Niagara Hotels Inc,LOBBY BAR Sup,554110030 LB Bart,002570 Sheraton Lobby Bar
Canadian Niagara Hotels Inc,Barista,554510045-Caf� Baris,002580-Starbucks
Canadian Niagara Hotels Inc,Shift Supervisor,554510045-Caf� Baris,002580-Starbucks
Canadian Niagara Hotels Inc,Supervisor,520010045-Sher Star Sup,002580-Starbucks
Canadian Niagara Hotels Inc,Ass't GM S.O.T.F.,510010010-Mgmt Sal,002700-Admin
Canadian Niagara Hotels Inc,Director of Conference Services,510010025-Mgmt Sal,002700-Admin
Canadian Niagara Hotels Inc,VP OPS & GM SHER,530010075-SH-Admin,002700-Admin
Canadian Niagara Hotels Inc,Bellperson,554011010-Bell Servi,004050-Bell Desk
Canadian Niagara Hotels Inc,Asst. Front Office Mgr.,510011010-Mgmt Sal,004051-Front Desk
Canadian Niagara Hotels Inc,Front Office Mgr,510011010-Mgmt Sal,004051-Front Desk
Canadian Niagara Hotels Inc,General Manager,530011075-SH-Admin,004051-Front Desk
Canadian Niagara Hotels Inc,Guest Serv Mgr,510011010-Mgmt Sal,004051-Front Desk
Canadian Niagara Hotels Inc,Guest Service Agent,540211010-F_O Wage,004051-Front Desk
Canadian Niagara Hotels Inc,Night Auditor,540311010-N_Audit Wa,004051-Front Desk
Canadian Niagara Hotels Inc,Asst HSKP Mgr,530111010-H_Keep Sal,004052-Housekeeping
Canadian Niagara Hotels Inc,Exec. Housekeeper,530111010-H_Keep Sal,004052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson,550211010-Housemen,004052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson LH,550211010-Housemen,004052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson_Nigh,550211010-Housemen,004052-Housekeeping
Canadian Niagara Hotels Inc,HSKP Supervisor,541411010-Spvr-Hr-Hs,004052-Housekeeping
Canadian Niagara Hotels Inc,Night Cleaner,550611010-Nite Clean,004052-Housekeeping
